,Strategy_Equity,Benchmark_Equity
2023-03-08,1278024.75,794051.7
2023-03-09,1271265.0,778273.25
2023-03-10,1306551.25,772346.25
2023-03-13,1287046.5,777285.4
2023-03-14,1268006.5,793731.06
2023-03-15,1268469.375,798884.06
2023-03-16,1257657.5,819628.4
2023-03-17,1255622.75,815623.6
2023-03-20,1250423.375,816664.94
2023-03-21,1265533.0,827904.75
2023-03-22,1319191.625,818293.44
2023-03-23,1318826.375,828171.75
2023-03-24,1307352.25,831829.4
2023-03-27,1306739.625,825742.25
2023-03-28,1313896.625,821657.44
2023-03-29,1317769.625,833404.56
2023-03-30,1314639.625,843603.2
2023-03-31,1316299.625,857940.0
2023-04-03,1316085.375,853401.3
2023-04-04,1320429.875,853214.4
2023-04-05,1332768.875,841787.7
2023-04-06,1333216.625,848515.6
2023-04-10,1332265.625,849316.56
2023-04-11,1338039.25,844003.7
2023-04-12,1359852.75,834045.3
2023-04-13,1361767.875,850998.5
2023-04-14,1367960.25,851398.94
2023-04-17,1366322.875,850331.06
2023-04-18,1363007.875,850437.9
2023-04-19,1361871.75,847447.7
2023-04-20,1364301.75,844884.6
2023-04-21,1365909.75,844938.1
2023-04-24,1366300.25,842962.4
2023-04-25,1369252.125,837329.1
2023-04-26,1381037.5,837275.7
2023-04-27,1391466.125,853935.3
2023-04-28,1393752.125,861811.2
2023-05-01,1394073.5,859088.0
2023-05-02,1393496.75,852466.9
2023-05-03,1381967.375,847154.0
2023-05-04,1373746.75,847287.5
2023-05-05,1374819.0,861410.75
2023-05-08,1382349.375,863146.06
2023-05-09,1386274.375,859194.8
2023-05-10,1381228.125,868912.8
2023-05-11,1388587.75,871449.2
2023-05-12,1382315.0,865815.9
2023-05-15,1385627.25,871876.4
2023-05-16,1382512.25,874626.25
2023-05-17,1383072.375,883997.2
2023-05-18,1385694.125,902952.8
2023-05-19,1377108.125,898280.6
2023-05-22,1376319.75,903940.6
2023-05-23,1371497.375,891419.3
2023-05-24,1363649.75,897933.56
2023-05-25,1359225.25,906156.6
2023-05-26,1367292.125,932774.5
2023-05-30,1374514.125,935924.8
2023-05-31,1382460.875,928769.75
2023-06-01,1372863.5,940570.25
2023-06-02,1379325.375,947298.2
2023-06-05,1379872.75,946070.0
2023-06-06,1377332.875,948152.56
2023-06-07,1386627.625,931145.9
2023-06-08,1376700.625,942759.5
2023-06-09,1376299.875,945776.4
2023-06-12,1384264.5,963770.8
2023-06-13,1375371.5,970552.1
2023-06-14,1359004.875,977627.1
2023-06-15,1354603.25,987318.44
2023-06-16,1357477.75,983473.94
2023-06-20,1353486.5,980083.4
2023-06-21,1360103.0,966146.94
2023-06-22,1364063.375,978347.94
2023-06-23,1354646.25,966947.9
2023-06-26,1360437.0,957390.0
2023-06-27,1355108.75,968202.7
2023-06-28,1358736.0,975544.6
2023-06-29,1350798.75,972394.3
2023-06-30,1353698.625,985823.4
2023-07-03,1354105.375,987959.2
2023-07-05,1353266.25,988252.9
2023-07-06,1348632.5,980510.5
2023-07-07,1348550.25,978161.06
2023-07-10,1351408.875,978481.44
2023-07-11,1350321.625,983260.4
2023-07-12,1350977.875,996742.9
2023-07-13,1346596.125,1012681.6
2023-07-14,1345531.25,1012147.56
2023-07-17,1349328.625,1019809.94
2023-07-18,1353270.375,1029156.8
2023-07-19,1351713.375,1022533.06
2023-07-20,1350854.375,1005099.3
2023-07-21,1350101.0,1003043.6
2023-07-24,1350492.75,1004805.56
2023-07-25,1349015.625,1009210.8
2023-07-26,1339004.875,1010572.44
2023-07-27,1339621.625,1006834.6
2023-07-28,1343628.25,1024482.1
2023-07-31,1342944.25,1024722.3
2023-08-01,1339899.625,1017914.3
2023-08-02,1348900.25,1001094.56
2023-08-03,1350453.25,1001174.7
2023-08-04,1347565.75,992658.06
2023-08-07,1344296.875,1001735.3
2023-08-08,1350796.125,993165.3
2023-08-09,1348368.875,984782.1
2023-08-10,1351037.5,986651.0
2023-08-11,1348727.375,977680.5
2023-08-14,1354110.0,990949.44
2023-08-15,1352045.0,979442.56
2023-08-16,1346925.625,967054.7
2023-08-17,1352929.0,956215.3
2023-08-18,1353843.125,957229.9
2023-08-21,1353718.125,969617.7
2023-08-22,1354809.5,970311.8
2023-08-23,1373098.625,994393.44
